Index,L1,L2
17217,Mono/DC,CD14 Mono
17218,T cell,CD8 Naive
17219,T cell,CD4 Naive
17220,Mono/DC,CD14 Mono
17221,T cell,CD4 Memory
17222,T cell,CD8 Naive
17223,B cell,Naive B
17224,T cell,gdT
17225,Mono/DC,CD14 Mono
17226,Mono/DC,CD14 Mono
17227,Mono/DC,CD14 Mono
17228,Progenitor cells,Prog_RBC
17229,T cell,CD4 Naive
17230,B cell,Memory B
17231,T cell,CD8 Naive
17232,Mono/DC,CD14 Mono
17233,T cell,CD8 Naive
17234,Mono/DC,CD14 Mono
17235,Progenitor cells,GMP
17236,Mono/DC,CD16 Mono
17237,Mono/DC,CD14 Mono
17238,T cell,CD4 Naive
17239,Mono/DC,CD14 Mono
17240,T cell,CD4 Naive
17241,Mono/DC,CD14 Mono
17242,T cell,CD8 Naive
17243,B cell,Naive B
17244,Progenitor cells,Prog_RBC
17245,T cell,CD4 Memory
17246,T cell,CD4 Naive
17247,NK,NK
17248,Mono/DC,CD14 Mono
17249,Progenitor cells,GMP
17250,T cell,CD8 Effector_1
17251,T cell,CD8 Naive
17252,T cell,CD8 Memory_1
17253,T cell,CD4 Naive
17254,Mono/DC,CD14 Mono
17255,T cell,CD4 Naive
17256,T cell,CD4 Memory
17257,B cell,Naive B
17258,Mono/DC,CD14 Mono
17259,T cell,CD8 Memory_2
17260,Mono/DC,pDC
17261,NK,NK
17262,T cell,CD4 Naive
17263,T cell,CD8 Naive
17264,T cell,CD8 Effector_1
17265,B cell,Plasmablast
17266,Mono/DC,CD14 Mono
17267,Mono/DC,CD14 Mono
17268,T cell,CD4 Naive
17269,Mono/DC,CD14 Mono
17270,Mono/DC,CD14 Mono
17271,T cell,CD8 Naive
17272,T cell,CD8 Memory_2
17273,NK,NK
17274,Progenitor cells,GMP
17275,T cell,CD4 Naive
17276,Mono/DC,CD14 Mono
17277,Progenitor cells,GMP
17278,NK,NK
17279,T cell,CD4 Naive
17280,T cell,CD4 Memory
17281,T cell,CD8 Memory_2
17282,T cell,MAIT
17283,B cell,Naive B
17284,T cell,CD8 Naive
17285,T cell,CD8 Memory_2
17286,Progenitor cells,Prog_DC
17287,B cell,Plasmablast
17288,B cell,Naive B
17289,B cell,Naive B
17290,T cell,Treg
17291,Mono/DC,CD14 Mono
17292,Mono/DC,CD14 Mono
17293,NK,NK
17294,B cell,Memory B
17295,NK,NK
17296,Mono/DC,CD14 Mono
17297,T cell,CD4 Naive
17298,T cell,gdT
17299,T cell,CD8 Naive
17300,T cell,CD4 Naive
17301,T cell,CD4 Naive
17302,T cell,gdT
17303,Mono/DC,CD14 Mono
17304,T cell,CD8 Naive
17305,Mono/DC,CD14 Mono
17306,T cell,CD4 Memory
17307,T cell,CD4 Memory
17308,Mono/DC,CD14 Mono
17309,Mono/DC,CD16 Mono
17310,T cell,CD8 Memory_1
17311,T cell,CD4 Memory
17312,NK,CD56 bright NK
17313,T cell,CD8 Naive
17314,NK,NK
17315,Mono/DC,CD14 Mono
17316,T cell,CD4 Naive
17317,Progenitor cells,Prog_DC
17318,B cell,Naive B
17319,T cell,CD4 Naive
17320,Mono/DC,CD14 Mono
17321,T cell,CD4 Naive
17322,Progenitor cells,Prog_RBC
17323,Progenitor cells,HSC
17324,Mono/DC,pDC
17325,T cell,CD4 Memory
17326,Mono/DC,CD14 Mono
17327,T cell,CD4 Naive
17328,T cell,CD4 Memory
17329,Mono/DC,CD14 Mono
17330,Mono/DC,CD14 Mono
17331,T cell,CD8 Memory_2
17332,T cell,CD4 Memory
17333,NK,CD56 bright NK
17334,T cell,Treg
17335,Mono/DC,CD14 Mono
17336,Progenitor cells,HSC
17337,Mono/DC,CD14 Mono
17338,Mono/DC,CD14 Mono
17339,Mono/DC,CD14 Mono
17340,T cell,CD4 Memory
17341,T cell,CD8 Memory_1
17342,Progenitor cells,Prog_RBC
17343,T cell,CD8 Naive
17344,Mono/DC,CD14 Mono
17345,T cell,CD4 Memory
17346,T cell,CD8 Naive
17347,T cell,CD4 Naive
17348,T cell,CD8 Memory_1
17349,NK,NK
17350,T cell,CD8 Memory_1
17351,Mono/DC,CD14 Mono
17352,Progenitor cells,GMP
17353,T cell,CD4 Memory
17354,T cell,CD4 Memory
17355,Mono/DC,cDC2
17356,NK,NK
17357,Mono/DC,CD14 Mono
17358,T cell,CD4 Naive
17359,T cell,CD4 Naive
17360,Mono/DC,CD14 Mono
17361,T cell,CD8 Naive
17362,Mono/DC,CD14 Mono
17363,T cell,CD8 Memory_2
17364,Mono/DC,CD14 Mono
17365,T cell,CD4 Naive
17366,T cell,CD8 Effector_2
17367,Mono/DC,CD14 Mono
17368,NK,NK
17369,T cell,Treg
17370,B cell,Naive B
17371,T cell,CD4 Memory
17372,Mono/DC,CD14 Mono
17373,T cell,CD8 Naive
17374,Mono/DC,CD14 Mono
17375,NK,NK
17376,T cell,CD8 Naive
17377,T cell,CD4 Memory
17378,T cell,CD4 Memory
17379,T cell,CD4 Naive
17380,T cell,CD4 Naive
17381,Progenitor cells,Prog_DC
17382,T cell,CD8 Naive
17383,T cell,CD4 Naive
17384,T cell,CD8 Naive
17385,T cell,CD8 Memory_2
17386,Mono/DC,CD14 Mono
17387,Progenitor cells,Prog_RBC
17388,B cell,Naive B
17389,T cell,MAIT
17390,T cell,CD4 Naive
17391,T cell,CD8 Naive
17392,T cell,CD8 Memory_2
17393,T cell,CD4 Naive
17394,T cell,CD4 Memory
17395,T cell,CD4 Memory
17396,T cell,CD8 Naive
17397,T cell,CD8 Memory_2
17398,Mono/DC,pDC
17399,T cell,CD8 Naive
17400,B cell,Memory B
17401,Mono/DC,CD14 Mono
17402,T cell,CD4 Memory
17403,Mono/DC,CD14 Mono
17404,T cell,CD8 Naive
17405,T cell,CD4 Naive
17406,Mono/DC,CD14 Mono
17407,T cell,CD8 Memory_2
17408,T cell,CD4 Naive
17409,Mono/DC,CD14 Mono
17410,T cell,CD8 Naive
17411,T cell,gdT
17412,T cell,CD8 Naive
17413,T cell,CD8 Naive
17414,Mono/DC,CD14 Mono
17415,T cell,CD4 Naive
17416,NK,NK
17417,B cell,Naive B
17418,Mono/DC,CD14 Mono
17419,T cell,CD4 Memory
17420,T cell,CD4 Memory
17421,Progenitor cells,Prog_RBC
17422,T cell,CD4 Memory
17423,Mono/DC,CD14 Mono
17424,T cell,CD4 Naive
17425,NK,NK
17426,T cell,CD8 Naive
17427,B cell,Memory B
17428,T cell,CD8 Effector_1
17429,Mono/DC,CD14 Mono
17430,T cell,CD4 Naive
17431,Mono/DC,CD14 Mono
17432,T cell,CD4 Memory
17433,Mono/DC,cDC2
17434,T cell,CD8 Effector_2
17435,T cell,CD4 Memory
17436,T cell,CD4 Naive
17437,Progenitor cells,Prog_B 2
17438,T cell,CD4 Memory
17439,Progenitor cells,Prog_DC
17440,Mono/DC,CD14 Mono
17441,T cell,CD8 Naive
17442,NK,CD56 bright NK
17443,Progenitor cells,Prog_RBC
17444,T cell,CD4 Memory
17445,T cell,CD8 Effector_1
17446,T cell,CD8 Memory_2
17447,T cell,CD8 Memory_1
17448,NK,NK
17449,Mono/DC,CD14 Mono
17450,T cell,CD4 Memory
17451,T cell,CD8 Effector_1
17452,T cell,CD8 Naive
17453,Mono/DC,CD14 Mono
17454,Mono/DC,pDC
17455,T cell,CD8 Memory_1
17456,T cell,CD8 Naive
17457,T cell,CD8 Effector_2
17458,Progenitor cells,Prog_RBC
17459,Mono/DC,CD14 Mono
17460,T cell,CD8 Naive
17461,T cell,CD8 Naive
17462,Progenitor cells,GMP
17463,T cell,CD8 Effector_2
17464,T cell,CD4 Naive
17465,NK,NK
17466,Mono/DC,CD14 Mono
17467,B cell,Memory B
17468,T cell,CD8 Naive
17469,B cell,Naive B
17470,B cell,Memory B
17471,NK,NK
17472,Mono/DC,pDC
17473,Mono/DC,CD14 Mono
17474,T cell,CD8 Memory_2
17475,Mono/DC,CD14 Mono
17476,T cell,CD8 Naive
17477,T cell,CD8 Naive
17478,B cell,Naive B
17479,T cell,CD4 Naive
17480,Mono/DC,CD14 Mono
17481,Mono/DC,CD14 Mono
17482,B cell,Naive B
17483,T cell,CD4 Naive
17484,T cell,CD4 Memory
17485,Mono/DC,CD14 Mono
17486,T cell,CD4 Naive
17487,B cell,Naive B
17488,NK,CD56 bright NK
17489,T cell,CD8 Naive
17490,B cell,Memory B
17491,B cell,Naive B
17492,T cell,CD4 Memory
17493,T cell,CD8 Naive
17494,T cell,CD8 Naive
17495,NK,NK
17496,T cell,CD4 Naive
17497,T cell,CD8 Effector_1
17498,T cell,CD4 Memory
17499,T cell,CD4 Memory
17500,B cell,Memory B
17501,B cell,Naive B
17502,T cell,CD8 Naive
17503,B cell,Naive B
17504,Mono/DC,CD14 Mono
17505,T cell,CD4 Naive
17506,Progenitor cells,HSC
17507,Mono/DC,CD14 Mono
17508,B cell,Naive B
17509,B cell,Memory B
17510,Mono/DC,CD14 Mono
17511,T cell,Treg
17512,T cell,CD4 Naive
17513,B cell,Naive B
17514,T cell,CD4 Naive
17515,B cell,Naive B
17516,B cell,Naive B
17517,Mono/DC,CD14 Mono
17518,T cell,CD4 Naive
17519,T cell,CD8 Naive
17520,Mono/DC,CD14 Mono
17521,B cell,Memory B
17522,T cell,CD4 Memory
17523,T cell,CD4 Memory
17524,B cell,Memory B
17525,NK,CD56 bright NK
17526,Mono/DC,cDC2
17527,T cell,CD4 Memory
17528,T cell,CD4 Naive
17529,Progenitor cells,GMP
17530,T cell,CD4 Naive
17531,T cell,MAIT
17532,T cell,gdT
17533,B cell,Naive B
17534,T cell,CD4 Naive
17535,T cell,CD4 Memory
17536,T cell,CD4 Memory
17537,B cell,Memory B
17538,T cell,CD8 Effector_1
17539,NK,NK
17540,T cell,CD4 Naive
17541,T cell,CD8 Effector_2
17542,B cell,Memory B
17543,T cell,CD4 Naive
17544,T cell,CD4 Naive
17545,Mono/DC,CD14 Mono
17546,NK,NK
17547,NK,NK
17548,Progenitor cells,Prog_Mk
17549,Mono/DC,CD14 Mono
17550,Mono/DC,CD14 Mono
17551,T cell,CD8 Effector_1
17552,T cell,CD8 Memory_1
17553,Mono/DC,CD14 Mono
17554,Mono/DC,CD14 Mono
17555,T cell,CD4 Naive
17556,T cell,CD8 Naive
17557,T cell,CD4 Naive
17558,Progenitor cells,Prog_RBC
17559,Progenitor cells,Prog_RBC
17560,Mono/DC,CD14 Mono
17561,T cell,CD4 Naive
17562,T cell,CD8 Naive
17563,Mono/DC,cDC2
17564,Mono/DC,CD14 Mono
17565,Progenitor cells,HSC
17566,B cell,Naive B
17567,Mono/DC,CD14 Mono
17568,T cell,MAIT
17569,T cell,CD4 Naive
17570,B cell,Naive B
17571,Progenitor cells,Prog_Mk
17572,B cell,Memory B
17573,Progenitor cells,GMP
17574,T cell,CD4 Naive
17575,Mono/DC,CD14 Mono
17576,Mono/DC,CD14 Mono
17577,Progenitor cells,Prog_DC
17578,T cell,CD4 Memory
17579,T cell,CD8 Naive
17580,T cell,gdT
17581,B cell,Naive B
17582,Progenitor cells,HSC
17583,T cell,CD4 Memory
17584,T cell,CD4 Naive
17585,B cell,Naive B
17586,T cell,CD4 Naive
17587,T cell,CD4 Naive
17588,Mono/DC,CD14 Mono
17589,Mono/DC,CD16 Mono
17590,T cell,CD4 Naive
17591,Progenitor cells,Prog_RBC
17592,Mono/DC,CD14 Mono
17593,T cell,CD4 Memory
17594,B cell,Memory B
17595,T cell,CD4 Naive
17596,Progenitor cells,Prog_Mk
17597,T cell,CD4 Memory
17598,Mono/DC,CD14 Mono
17599,T cell,CD8 Naive
17600,B cell,Naive B
17601,Progenitor cells,HSC
17602,T cell,CD4 Naive
17603,T cell,CD4 Naive
17604,Mono/DC,CD14 Mono
17605,Mono/DC,CD14 Mono
17606,T cell,CD4 Memory
17607,Mono/DC,CD14 Mono
17608,B cell,Memory B
17609,NK,NK
17610,T cell,gdT
17611,T cell,Treg
17612,T cell,CD4 Memory
17613,NK,NK
17614,T cell,CD4 Naive
17615,T cell,CD4 Naive
17616,B cell,Plasmablast
17617,T cell,CD4 Memory
17618,B cell,Naive B
17619,T cell,CD8 Naive
17620,T cell,CD4 Memory
17621,Mono/DC,CD14 Mono
17622,B cell,Memory B
17623,Mono/DC,CD14 Mono
17624,Progenitor cells,LMPP
17625,T cell,CD4 Naive
17626,T cell,CD8 Naive
17627,Mono/DC,CD14 Mono
17628,Mono/DC,CD14 Mono
17629,B cell,Memory B
17630,Mono/DC,CD14 Mono
17631,B cell,Memory B
17632,B cell,Naive B
17633,T cell,CD4 Naive
17634,Mono/DC,CD14 Mono
17635,T cell,CD8 Naive
17636,T cell,CD4 Memory
17637,T cell,CD4 Memory
17638,T cell,CD4 Naive
17639,T cell,CD4 Naive
17640,T cell,CD8 Naive
17641,Mono/DC,CD14 Mono
17642,T cell,CD4 Naive
17643,Mono/DC,CD14 Mono
17644,Mono/DC,CD14 Mono
17645,B cell,Memory B
17646,B cell,Memory B
17647,B cell,Memory B
17648,T cell,CD4 Memory
17649,Mono/DC,CD14 Mono
17650,B cell,Memory B
17651,Mono/DC,CD14 Mono
17652,Progenitor cells,Prog_RBC
17653,Mono/DC,CD14 Mono
17654,T cell,CD4 Memory
17655,B cell,Plasmablast
17656,T cell,gdT
17657,T cell,CD8 Naive
17658,Mono/DC,CD14 Mono
17659,Progenitor cells,Prog_DC
17660,Mono/DC,CD14 Mono
17661,T cell,gdT
17662,B cell,Naive B
17663,T cell,CD8 Naive
17664,T cell,CD8 Naive
17665,Mono/DC,CD14 Mono
17666,Mono/DC,CD14 Mono
17667,T cell,CD4 Naive
17668,Mono/DC,CD14 Mono
17669,Mono/DC,cDC2
17670,B cell,Memory B
17671,Progenitor cells,HSC
17672,NK,NK
17673,NK,NK
17674,T cell,CD4 Memory
17675,Progenitor cells,GMP
17676,B cell,Memory B
17677,T cell,CD4 Memory
17678,Mono/DC,CD14 Mono
17679,NK,NK
17680,Progenitor cells,Prog_B 1
17681,B cell,Naive B
17682,T cell,CD4 Memory
17683,T cell,CD4 Naive
17684,Mono/DC,CD14 Mono
17685,T cell,CD8 Naive
17686,T cell,CD8 Naive
17687,T cell,Treg
17688,T cell,CD8 Naive
17689,T cell,CD8 Naive
17690,Progenitor cells,GMP
17691,T cell,CD8 Naive
17692,T cell,CD4 Naive
17693,T cell,CD8 Naive
17694,Mono/DC,CD14 Mono
17695,T cell,CD4 Memory
17696,Progenitor cells,GMP
17697,Mono/DC,CD14 Mono
17698,T cell,CD8 Naive
17699,T cell,CD4 Naive
17700,Mono/DC,CD14 Mono
17701,Mono/DC,CD14 Mono
17702,Mono/DC,CD14 Mono
17703,T cell,CD8 Naive
17704,NK,CD56 bright NK
17705,T cell,CD4 Naive
17706,Mono/DC,CD14 Mono
17707,T cell,CD4 Memory
17708,T cell,CD4 Naive
17709,B cell,Naive B
17710,B cell,Memory B
17711,Mono/DC,CD14 Mono
17712,T cell,MAIT
17713,NK,NK
17714,Progenitor cells,Prog_B 2
17715,NK,NK
17716,T cell,gdT
17717,Mono/DC,cDC2
17718,Mono/DC,CD14 Mono
17719,NK,NK
17720,T cell,CD4 Naive
17721,Mono/DC,CD14 Mono
17722,Mono/DC,CD14 Mono
17723,Mono/DC,CD14 Mono
17724,T cell,CD4 Naive
17725,T cell,CD8 Naive
17726,T cell,CD8 Naive
17727,Mono/DC,CD14 Mono
17728,Mono/DC,CD14 Mono
17729,B cell,Memory B
17730,Mono/DC,CD14 Mono
17731,B cell,Memory B
17732,T cell,CD4 Naive
17733,Progenitor cells,Prog_DC
17734,T cell,CD4 Naive
17735,T cell,CD4 Memory
17736,Mono/DC,CD14 Mono
17737,T cell,CD8 Naive
17738,Progenitor cells,GMP
17739,Mono/DC,CD14 Mono
17740,T cell,CD8 Naive
17741,T cell,CD4 Naive
17742,NK,NK
17743,T cell,CD8 Naive
17744,T cell,CD8 Naive
17745,T cell,CD4 Naive
17746,T cell,CD8 Naive
17747,B cell,Memory B
17748,Mono/DC,CD14 Mono
17749,T cell,CD4 Naive
17750,T cell,CD4 Memory
17751,B cell,Memory B
17752,T cell,CD4 Naive
17753,NK,NK
17754,Progenitor cells,Prog_RBC
17755,T cell,CD4 Memory
17756,T cell,CD8 Memory_2
17757,Mono/DC,CD14 Mono
17758,Progenitor cells,Prog_B 1
17759,T cell,CD4 Naive
17760,T cell,CD8 Naive
17761,T cell,CD8 Naive
17762,Mono/DC,cDC2
17763,B cell,Memory B
17764,Mono/DC,CD14 Mono
17765,Progenitor cells,GMP
17766,T cell,CD8 Naive
17767,B cell,Memory B
17768,T cell,CD4 Naive
17769,T cell,CD4 Naive
17770,Mono/DC,CD16 Mono
17771,B cell,Memory B
17772,T cell,CD4 Naive
17773,Mono/DC,CD14 Mono
17774,T cell,CD8 Effector_1
17775,T cell,CD4 Naive
17776,T cell,CD4 Naive
17777,T cell,CD8 Effector_2
17778,T cell,CD8 Naive
17779,T cell,CD4 Naive
17780,T cell,CD4 Memory
17781,Mono/DC,CD14 Mono
17782,Mono/DC,CD14 Mono
17783,Progenitor cells,Prog_RBC
17784,Mono/DC,CD14 Mono
17785,Progenitor cells,GMP
17786,Mono/DC,CD14 Mono
17787,Mono/DC,CD14 Mono
17788,T cell,CD4 Memory
17789,NK,NK
17790,T cell,CD8 Naive
17791,T cell,CD4 Memory
17792,Mono/DC,cDC2
17793,Mono/DC,CD14 Mono
17794,Mono/DC,CD14 Mono
17795,T cell,CD8 Naive
17796,B cell,Memory B
17797,T cell,CD4 Memory
17798,T cell,CD8 Naive
17799,Mono/DC,CD14 Mono
17800,T cell,CD8 Naive
17801,T cell,CD4 Naive
17802,T cell,CD4 Naive
17803,T cell,CD8 Naive
17804,T cell,CD4 Naive
17805,B cell,Memory B
17806,T cell,CD4 Naive
17807,Mono/DC,CD14 Mono
17808,B cell,Plasmablast
17809,T cell,MAIT
17810,Mono/DC,CD14 Mono
17811,Progenitor cells,LMPP
17812,Mono/DC,CD14 Mono
17813,T cell,CD8 Naive
17814,T cell,CD4 Memory
17815,Mono/DC,CD14 Mono
17816,T cell,CD8 Naive
17817,T cell,MAIT
17818,T cell,CD8 Naive
17819,T cell,CD8 Naive
17820,B cell,Memory B
17821,B cell,Memory B
17822,T cell,CD4 Naive
17823,Mono/DC,CD14 Mono
17824,T cell,CD8 Naive
17825,T cell,CD8 Memory_1
17826,Mono/DC,CD14 Mono
17827,T cell,CD8 Naive
17828,T cell,CD4 Naive
17829,T cell,CD8 Effector_1
17830,T cell,CD4 Naive
17831,T cell,CD8 Memory_2
17832,Progenitor cells,Prog_DC
17833,Progenitor cells,GMP
17834,B cell,Naive B
17835,T cell,CD8 Memory_2
17836,T cell,CD8 Naive
17837,Mono/DC,CD14 Mono
17838,Mono/DC,CD14 Mono
17839,Progenitor cells,Prog_DC
17840,T cell,MAIT
17841,B cell,Memory B
17842,Mono/DC,CD14 Mono
17843,Mono/DC,CD14 Mono
17844,Mono/DC,CD14 Mono
17845,Mono/DC,CD14 Mono
17846,B cell,Naive B
17847,Mono/DC,CD14 Mono
17848,T cell,CD8 Naive
17849,B cell,Memory B
17850,NK,NK
17851,T cell,CD4 Naive
17852,T cell,CD4 Memory
17853,T cell,CD4 Naive
17854,T cell,CD4 Memory
17855,T cell,CD8 Naive
17856,T cell,CD8 Effector_1
17857,Mono/DC,CD14 Mono
17858,Progenitor cells,HSC
17859,Progenitor cells,Prog_DC
17860,B cell,Naive B
17861,Mono/DC,CD14 Mono
17862,Progenitor cells,Prog_RBC
17863,B cell,Naive B
17864,NK,NK
17865,T cell,CD8 Memory_1
17866,Mono/DC,CD16 Mono
17867,T cell,CD4 Naive
17868,T cell,CD4 Naive
17869,T cell,gdT
17870,NK,NK
17871,T cell,CD8 Naive
17872,T cell,CD4 Memory
17873,T cell,CD4 Memory
17874,Mono/DC,CD14 Mono
17875,B cell,Plasmablast
17876,T cell,CD4 Memory
17877,T cell,CD4 Memory
17878,B cell,Naive B
17879,T cell,CD4 Naive
17880,T cell,CD8 Memory_1
17881,Progenitor cells,LMPP
17882,T cell,CD4 Naive
17883,Progenitor cells,Prog_RBC
17884,T cell,CD8 Naive
17885,NK,NK
17886,Mono/DC,CD14 Mono
17887,B cell,Memory B
17888,B cell,Naive B
17889,B cell,Memory B
17890,Mono/DC,CD16 Mono
17891,Mono/DC,CD14 Mono
17892,NK,NK
17893,B cell,Naive B
17894,Mono/DC,CD14 Mono
17895,T cell,CD8 Naive
17896,T cell,CD8 Effector_1
17897,Mono/DC,CD14 Mono
17898,T cell,CD8 Naive
17899,T cell,CD8 Naive
17900,T cell,Treg
17901,B cell,Memory B
17902,T cell,CD8 Effector_1
17903,Progenitor cells,Prog_DC
17904,T cell,CD4 Naive
17905,Mono/DC,CD14 Mono
17906,T cell,CD8 Naive
17907,Progenitor cells,Prog_RBC
17908,T cell,CD4 Naive
17909,T cell,CD8 Naive
17910,T cell,MAIT
17911,T cell,CD8 Effector_1
17912,T cell,CD4 Naive
17913,Mono/DC,CD14 Mono
17914,Mono/DC,CD14 Mono
17915,T cell,CD8 Naive
17916,Progenitor cells,HSC
17917,T cell,CD4 Memory
17918,Mono/DC,CD14 Mono
17919,T cell,CD4 Naive
17920,Progenitor cells,Prog_B 1
17921,Mono/DC,CD14 Mono
17922,Mono/DC,CD14 Mono
17923,T cell,Treg
17924,Progenitor cells,Prog_RBC
17925,Mono/DC,cDC2
17926,T cell,CD4 Memory
17927,Mono/DC,CD14 Mono
17928,T cell,CD8 Naive
17929,T cell,gdT
17930,B cell,Naive B
17931,T cell,CD8 Effector_1
17932,T cell,CD8 Naive
17933,B cell,Naive B
17934,T cell,CD4 Naive
17935,B cell,Naive B
17936,T cell,CD4 Memory
17937,Mono/DC,CD14 Mono
17938,Mono/DC,CD14 Mono
17939,Progenitor cells,GMP
17940,B cell,Naive B
17941,T cell,CD8 Naive
17942,NK,NK
17943,Mono/DC,pDC
17944,T cell,CD8 Effector_1
17945,NK,NK
17946,Mono/DC,cDC2
17947,T cell,CD8 Naive
17948,Progenitor cells,Prog_DC
17949,T cell,CD4 Memory
17950,Progenitor cells,Prog_DC
17951,Mono/DC,CD14 Mono
17952,Progenitor cells,Prog_RBC
17953,Progenitor cells,HSC
17954,T cell,CD8 Naive
17955,T cell,CD4 Memory
17956,Mono/DC,CD14 Mono
17957,T cell,CD8 Memory_1
17958,Mono/DC,CD14 Mono
17959,T cell,CD4 Memory
17960,T cell,CD4 Memory
17961,T cell,CD4 Naive
17962,Progenitor cells,Prog_Mk
17963,B cell,Naive B
17964,T cell,CD4 Memory
17965,Progenitor cells,Prog_DC
17966,Mono/DC,CD14 Mono
17967,T cell,CD4 Naive
17968,Progenitor cells,Prog_B 1
17969,T cell,CD4 Naive
17970,B cell,Naive B
17971,Mono/DC,CD14 Mono
17972,T cell,CD8 Effector_2
17973,T cell,CD8 Effector_1
17974,Mono/DC,CD14 Mono
17975,Mono/DC,CD14 Mono
17976,Mono/DC,CD14 Mono
17977,T cell,CD4 Naive
17978,T cell,CD4 Memory
17979,B cell,Memory B
17980,B cell,Memory B
17981,T cell,CD4 Naive
17982,Mono/DC,CD14 Mono
17983,Mono/DC,CD14 Mono
17984,B cell,Naive B
17985,NK,NK
17986,T cell,CD8 Memory_2
17987,B cell,Memory B
17988,T cell,CD8 Memory_2
17989,Mono/DC,CD14 Mono
17990,T cell,CD8 Naive
17991,NK,NK
17992,Progenitor cells,GMP
17993,Progenitor cells,Prog_DC
17994,T cell,CD4 Naive
17995,NK,NK
17996,Mono/DC,CD14 Mono
17997,T cell,MAIT
17998,Mono/DC,CD14 Mono
17999,T cell,CD8 Naive
18000,B cell,Naive B
18001,B cell,Memory B
18002,T cell,CD4 Naive
18003,T cell,CD8 Naive
18004,T cell,CD8 Naive
18005,T cell,CD4 Naive
18006,T cell,CD4 Memory
18007,T cell,CD8 Naive
18008,T cell,CD4 Naive
18009,Mono/DC,CD14 Mono
18010,T cell,CD4 Memory
18011,T cell,CD4 Naive
18012,B cell,Memory B
18013,T cell,CD4 Naive
18014,B cell,Memory B
18015,T cell,CD4 Naive
18016,B cell,Naive B
18017,NK,NK
18018,Progenitor cells,HSC
18019,Mono/DC,CD14 Mono
18020,T cell,CD4 Memory
18021,Mono/DC,CD14 Mono
18022,T cell,CD4 Memory
18023,T cell,CD8 Naive
18024,T cell,CD8 Memory_2
18025,T cell,CD8 Naive
18026,Mono/DC,CD14 Mono
18027,T cell,CD4 Memory
18028,B cell,Naive B
18029,T cell,CD4 Memory
18030,Mono/DC,CD14 Mono
18031,T cell,CD4 Naive
18032,Mono/DC,CD16 Mono
18033,T cell,CD8 Naive
18034,NK,NK
18035,T cell,CD4 Naive
18036,T cell,CD4 Naive
18037,Progenitor cells,HSC
18038,T cell,gdT
18039,T cell,CD8 Naive
18040,T cell,CD4 Memory
18041,T cell,CD4 Naive
18042,T cell,CD4 Naive
18043,T cell,CD8 Naive
18044,Progenitor cells,Prog_B 2
18045,Mono/DC,CD14 Mono
18046,T cell,CD4 Memory
18047,T cell,CD8 Naive
18048,T cell,CD8 Naive
18049,B cell,Naive B
18050,NK,NK
18051,T cell,CD4 Naive
18052,T cell,CD4 Naive
18053,T cell,CD8 Naive
18054,Progenitor cells,GMP
18055,Mono/DC,CD14 Mono
18056,T cell,CD8 Naive
18057,B cell,Plasmablast
18058,T cell,CD4 Memory
18059,T cell,CD4 Memory
18060,Mono/DC,CD14 Mono
18061,T cell,CD4 Naive
18062,T cell,CD4 Naive
18063,T cell,CD4 Naive
18064,T cell,CD4 Naive
18065,Mono/DC,CD14 Mono
18066,T cell,CD8 Naive
18067,Mono/DC,CD14 Mono
18068,Progenitor cells,Prog_RBC
18069,Mono/DC,CD14 Mono
18070,T cell,CD4 Memory
18071,T cell,CD8 Naive
18072,Mono/DC,CD14 Mono
18073,B cell,Naive B
18074,T cell,CD8 Naive
18075,Progenitor cells,Prog_RBC
18076,Mono/DC,CD14 Mono
18077,Mono/DC,CD14 Mono
18078,T cell,Treg
18079,Progenitor cells,LMPP
18080,Progenitor cells,HSC
18081,T cell,CD4 Naive
18082,T cell,CD4 Memory
18083,B cell,Memory B
18084,T cell,Treg
18085,T cell,CD8 Naive
18086,T cell,CD8 Memory_2
18087,Mono/DC,CD14 Mono
18088,T cell,MAIT
18089,T cell,CD4 Naive
18090,Progenitor cells,HSC
18091,T cell,CD8 Naive
18092,T cell,CD4 Memory
18093,Mono/DC,CD14 Mono
18094,T cell,CD8 Effector_1
18095,T cell,CD4 Memory
18096,Mono/DC,CD14 Mono
18097,Mono/DC,pDC
18098,T cell,CD4 Memory
18099,T cell,CD8 Naive
18100,Progenitor cells,GMP
18101,T cell,CD4 Memory
18102,T cell,CD8 Naive
18103,T cell,CD8 Effector_2
18104,T cell,CD8 Effector_1
18105,B cell,Naive B
18106,NK,NK
18107,T cell,CD4 Memory
18108,T cell,CD4 Memory
18109,T cell,CD8 Memory_2
18110,Mono/DC,CD14 Mono
18111,B cell,Memory B
18112,Mono/DC,CD14 Mono
18113,B cell,Memory B
18114,T cell,CD8 Naive
18115,T cell,CD4 Memory
18116,T cell,CD8 Naive
18117,Progenitor cells,Prog_RBC
18118,NK,CD56 bright NK
18119,B cell,Naive B
18120,T cell,CD4 Naive
18121,T cell,CD4 Memory
18122,T cell,CD4 Memory
18123,Progenitor cells,GMP
18124,T cell,CD4 Naive
18125,Progenitor cells,Prog_DC
18126,T cell,CD4 Naive
18127,T cell,CD4 Memory
18128,Mono/DC,CD14 Mono
18129,T cell,CD8 Naive
18130,T cell,CD8 Memory_2
18131,B cell,Naive B
18132,Mono/DC,CD14 Mono
18133,T cell,CD4 Naive
18134,T cell,CD8 Naive
18135,T cell,MAIT
18136,Mono/DC,CD14 Mono
