Index,L1,L2,L1_02
14592_RNA,T cell,CD8 Memory_1,T cell_RNA
14593_RNA,T cell,CD8 Memory_2,T cell_RNA
14594_RNA,B cell,Memory B,B cell_RNA
14595_RNA,T cell,CD4 Memory,T cell_RNA
14596_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14597_RNA,T cell,CD8 Naive,T cell_RNA
14598_RNA,B cell,Memory B,B cell_RNA
14599_RNA,T cell,CD8 Naive,T cell_RNA
14600_RNA,NK,NK,NK_RNA
14601_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14602_RNA,T cell,gdT,T cell_RNA
14603_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14604_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14605_RNA,B cell,Memory B,B cell_RNA
14606_RNA,NK,NK,NK_RNA
14607_RNA,T cell,CD4 Naive,T cell_RNA
14608_RNA,B cell,Naive B,B cell_RNA
14609_RNA,T cell,CD4 Memory,T cell_RNA
14610_RNA,T cell,CD4 Naive,T cell_RNA
14611_RNA,T cell,CD4 Naive,T cell_RNA
14612_RNA,NK,NK,NK_RNA
14613_RNA,T cell,CD8 Naive,T cell_RNA
14614_RNA,T cell,CD4 Memory,T cell_RNA
14615_RNA,T cell,CD4 Naive,T cell_RNA
14616_RNA,B cell,Naive B,B cell_RNA
14617_RNA,T cell,Treg,T cell_RNA
14618_RNA,Mono/DC,CD16 Mono,Mono/DC_RNA
14619_RNA,B cell,Naive B,B cell_RNA
14620_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14621_RNA,B cell,Naive B,B cell_RNA
14622_RNA,T cell,CD4 Memory,T cell_RNA
14623_RNA,T cell,CD4 Naive,T cell_RNA
14624_RNA,T cell,CD4 Naive,T cell_RNA
14625_RNA,T cell,CD8 Naive,T cell_RNA
14626_RNA,NK,NK,NK_RNA
14627_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14628_RNA,T cell,CD4 Naive,T cell_RNA
14629_RNA,T cell,CD4 Memory,T cell_RNA
14630_RNA,T cell,CD8 Effector_1,T cell_RNA
14631_RNA,B cell,Naive B,B cell_RNA
14632_RNA,T cell,CD4 Naive,T cell_RNA
14633_RNA,T cell,CD4 Memory,T cell_RNA
14634_RNA,T cell,CD4 Naive,T cell_RNA
14635_RNA,T cell,CD8 Naive,T cell_RNA
14636_RNA,Progenitor cells,HSC,Progenitor cells_RNA
14637_RNA,NK,NK,NK_RNA
14638_RNA,Mono/DC,pDC,Mono/DC_RNA
14639_RNA,T cell,CD4 Memory,T cell_RNA
14640_RNA,Progenitor cells,Prog_RBC,Progenitor cells_RNA
14641_RNA,T cell,MAIT,T cell_RNA
14642_RNA,B cell,Memory B,B cell_RNA
14643_RNA,T cell,gdT,T cell_RNA
14644_RNA,T cell,CD8 Naive,T cell_RNA
14645_RNA,B cell,Memory B,B cell_RNA
14646_RNA,T cell,CD4 Naive,T cell_RNA
14647_RNA,T cell,CD8 Naive,T cell_RNA
14648_RNA,T cell,Treg,T cell_RNA
14649_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14650_RNA,T cell,CD4 Memory,T cell_RNA
14651_RNA,B cell,Naive B,B cell_RNA
14652_RNA,T cell,MAIT,T cell_RNA
14653_RNA,Progenitor cells,Prog_RBC,Progenitor cells_RNA
14654_RNA,Mono/DC,CD16 Mono,Mono/DC_RNA
14655_RNA,T cell,CD4 Memory,T cell_RNA
14656_RNA,Progenitor cells,Prog_RBC,Progenitor cells_RNA
14657_RNA,T cell,CD4 Naive,T cell_RNA
14658_RNA,B cell,Memory B,B cell_RNA
14659_RNA,Progenitor cells,Prog_RBC,Progenitor cells_RNA
14660_RNA,T cell,CD8 Naive,T cell_RNA
14661_RNA,T cell,CD4 Memory,T cell_RNA
14662_RNA,T cell,CD8 Naive,T cell_RNA
14663_RNA,T cell,CD8 Naive,T cell_RNA
14664_RNA,B cell,Memory B,B cell_RNA
14665_RNA,Progenitor cells,Prog_DC,Progenitor cells_RNA
14666_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14667_RNA,NK,CD56 bright NK,NK_RNA
14668_RNA,T cell,CD4 Memory,T cell_RNA
14669_RNA,B cell,Naive B,B cell_RNA
14670_RNA,T cell,CD8 Naive,T cell_RNA
14671_RNA,T cell,CD8 Effector_2,T cell_RNA
14672_RNA,NK,NK,NK_RNA
14673_RNA,T cell,CD8 Naive,T cell_RNA
14674_RNA,T cell,CD4 Memory,T cell_RNA
14675_RNA,T cell,CD4 Naive,T cell_RNA
14676_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14677_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14678_RNA,T cell,CD8 Naive,T cell_RNA
14679_RNA,T cell,CD4 Naive,T cell_RNA
14680_RNA,Mono/DC,cDC2,Mono/DC_RNA
14681_RNA,T cell,CD8 Naive,T cell_RNA
14682_RNA,T cell,CD4 Naive,T cell_RNA
14683_RNA,B cell,Memory B,B cell_RNA
14684_RNA,Progenitor cells,Prog_B 1,Progenitor cells_RNA
14685_RNA,B cell,Naive B,B cell_RNA
14686_RNA,T cell,CD8 Naive,T cell_RNA
14687_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14688_RNA,B cell,Memory B,B cell_RNA
14689_RNA,T cell,CD8 Memory_2,T cell_RNA
14690_RNA,T cell,CD8 Memory_2,T cell_RNA
14691_RNA,NK,NK,NK_RNA
14692_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14693_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14694_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14695_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14696_RNA,T cell,CD4 Naive,T cell_RNA
14697_RNA,Progenitor cells,GMP,Progenitor cells_RNA
14698_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14699_RNA,T cell,CD4 Naive,T cell_RNA
14700_RNA,B cell,Naive B,B cell_RNA
14701_RNA,T cell,CD8 Naive,T cell_RNA
14702_RNA,Mono/DC,pDC,Mono/DC_RNA
14703_RNA,T cell,CD4 Naive,T cell_RNA
14704_RNA,T cell,CD8 Naive,T cell_RNA
14705_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14706_RNA,T cell,CD4 Memory,T cell_RNA
14707_RNA,B cell,Naive B,B cell_RNA
14708_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14709_RNA,NK,NK,NK_RNA
14710_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14711_RNA,T cell,CD4 Naive,T cell_RNA
14712_RNA,T cell,CD4 Naive,T cell_RNA
14713_RNA,Progenitor cells,Prog_RBC,Progenitor cells_RNA
14714_RNA,T cell,CD8 Naive,T cell_RNA
14715_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14716_RNA,T cell,CD8 Effector_1,T cell_RNA
14717_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14718_RNA,T cell,CD8 Effector_1,T cell_RNA
14719_RNA,T cell,CD4 Memory,T cell_RNA
14720_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14721_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14722_RNA,T cell,CD8 Naive,T cell_RNA
14723_RNA,T cell,CD8 Naive,T cell_RNA
14724_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14725_RNA,T cell,CD8 Naive,T cell_RNA
14726_RNA,B cell,Naive B,B cell_RNA
14727_RNA,Progenitor cells,GMP,Progenitor cells_RNA
14728_RNA,T cell,Treg,T cell_RNA
14729_RNA,T cell,CD8 Naive,T cell_RNA
14730_RNA,B cell,Naive B,B cell_RNA
14731_RNA,T cell,CD4 Naive,T cell_RNA
14732_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14733_RNA,T cell,CD8 Naive,T cell_RNA
14734_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14735_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14736_RNA,Progenitor cells,LMPP,Progenitor cells_RNA
14737_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14738_RNA,B cell,Memory B,B cell_RNA
14739_RNA,B cell,Naive B,B cell_RNA
14740_RNA,T cell,CD4 Memory,T cell_RNA
14741_RNA,NK,NK,NK_RNA
14742_RNA,NK,NK,NK_RNA
14743_RNA,T cell,CD4 Memory,T cell_RNA
14744_RNA,NK,NK,NK_RNA
14745_RNA,B cell,Memory B,B cell_RNA
14746_RNA,T cell,CD8 Naive,T cell_RNA
14747_RNA,T cell,CD4 Memory,T cell_RNA
14748_RNA,T cell,CD8 Effector_2,T cell_RNA
14749_RNA,B cell,Plasmablast,B cell_RNA
14750_RNA,B cell,Memory B,B cell_RNA
14751_RNA,Progenitor cells,Prog_Mk,Progenitor cells_RNA
14752_RNA,T cell,CD8 Naive,T cell_RNA
14753_RNA,T cell,CD8 Effector_2,T cell_RNA
14754_RNA,T cell,MAIT,T cell_RNA
14755_RNA,Progenitor cells,Prog_B 2,Progenitor cells_RNA
14756_RNA,T cell,CD8 Naive,T cell_RNA
14757_RNA,T cell,CD8 Naive,T cell_RNA
14758_RNA,T cell,CD4 Memory,T cell_RNA
14759_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14760_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14761_RNA,T cell,CD4 Naive,T cell_RNA
14762_RNA,T cell,CD4 Memory,T cell_RNA
14763_RNA,B cell,Memory B,B cell_RNA
14764_RNA,T cell,CD8 Naive,T cell_RNA
14765_RNA,B cell,Naive B,B cell_RNA
14766_RNA,B cell,Naive B,B cell_RNA
14767_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14768_RNA,Progenitor cells,Prog_RBC,Progenitor cells_RNA
14769_RNA,B cell,Naive B,B cell_RNA
14770_RNA,T cell,CD4 Memory,T cell_RNA
14771_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14772_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14773_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14774_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14775_RNA,Mono/DC,cDC2,Mono/DC_RNA
14776_RNA,T cell,MAIT,T cell_RNA
14777_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14778_RNA,B cell,Naive B,B cell_RNA
14779_RNA,B cell,Naive B,B cell_RNA
14780_RNA,Progenitor cells,Prog_B 2,Progenitor cells_RNA
14781_RNA,T cell,CD4 Memory,T cell_RNA
14782_RNA,B cell,Naive B,B cell_RNA
14783_RNA,T cell,CD4 Naive,T cell_RNA
14784_RNA,T cell,CD8 Naive,T cell_RNA
14785_RNA,T cell,CD8 Naive,T cell_RNA
14786_RNA,T cell,CD4 Memory,T cell_RNA
14787_RNA,B cell,Memory B,B cell_RNA
14788_RNA,Progenitor cells,GMP,Progenitor cells_RNA
14789_RNA,Progenitor cells,LMPP,Progenitor cells_RNA
14790_RNA,Mono/DC,CD16 Mono,Mono/DC_RNA
14791_RNA,T cell,Treg,T cell_RNA
14792_RNA,B cell,Memory B,B cell_RNA
14793_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14794_RNA,T cell,CD8 Naive,T cell_RNA
14795_RNA,T cell,CD4 Naive,T cell_RNA
14796_RNA,B cell,Memory B,B cell_RNA
14797_RNA,B cell,Naive B,B cell_RNA
14798_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14799_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14800_RNA,T cell,CD4 Memory,T cell_RNA
14801_RNA,T cell,CD4 Naive,T cell_RNA
14802_RNA,B cell,Memory B,B cell_RNA
14803_RNA,T cell,CD4 Memory,T cell_RNA
14804_RNA,T cell,MAIT,T cell_RNA
14805_RNA,B cell,Memory B,B cell_RNA
14806_RNA,NK,NK,NK_RNA
14807_RNA,B cell,Naive B,B cell_RNA
14808_RNA,T cell,CD4 Memory,T cell_RNA
14809_RNA,T cell,CD8 Naive,T cell_RNA
14810_RNA,Progenitor cells,GMP,Progenitor cells_RNA
14811_RNA,T cell,CD4 Memory,T cell_RNA
14812_RNA,T cell,CD4 Memory,T cell_RNA
14813_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14814_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14815_RNA,T cell,CD4 Naive,T cell_RNA
14816_RNA,Progenitor cells,Prog_RBC,Progenitor cells_RNA
14817_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14818_RNA,Progenitor cells,GMP,Progenitor cells_RNA
14819_RNA,T cell,CD4 Naive,T cell_RNA
14820_RNA,T cell,CD8 Effector_1,T cell_RNA
14821_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14822_RNA,B cell,Naive B,B cell_RNA
14823_RNA,NK,NK,NK_RNA
14824_RNA,T cell,CD8 Naive,T cell_RNA
14825_RNA,T cell,CD4 Memory,T cell_RNA
14826_RNA,T cell,CD8 Naive,T cell_RNA
14827_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14828_RNA,T cell,CD8 Naive,T cell_RNA
14829_RNA,T cell,MAIT,T cell_RNA
14830_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14831_RNA,B cell,Naive B,B cell_RNA
14832_RNA,T cell,CD4 Naive,T cell_RNA
14833_RNA,T cell,CD8 Memory_1,T cell_RNA
14834_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14835_RNA,NK,NK,NK_RNA
14836_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14837_RNA,B cell,Memory B,B cell_RNA
14838_RNA,T cell,CD4 Memory,T cell_RNA
14839_RNA,Progenitor cells,GMP,Progenitor cells_RNA
14840_RNA,B cell,Naive B,B cell_RNA
14841_RNA,B cell,Naive B,B cell_RNA
14842_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14843_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14844_RNA,T cell,CD4 Memory,T cell_RNA
14845_RNA,T cell,CD4 Naive,T cell_RNA
14846_RNA,B cell,Naive B,B cell_RNA
14847_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14848_RNA,B cell,Memory B,B cell_RNA
14849_RNA,NK,NK,NK_RNA
14850_RNA,T cell,CD4 Naive,T cell_RNA
14851_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14852_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14853_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14854_RNA,T cell,CD4 Naive,T cell_RNA
14855_RNA,T cell,CD4 Naive,T cell_RNA
14856_RNA,T cell,CD4 Naive,T cell_RNA
14857_RNA,B cell,Memory B,B cell_RNA
14858_RNA,NK,NK,NK_RNA
14859_RNA,T cell,CD8 Naive,T cell_RNA
14860_RNA,B cell,Memory B,B cell_RNA
14861_RNA,Progenitor cells,Prog_RBC,Progenitor cells_RNA
14862_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14863_RNA,T cell,CD4 Memory,T cell_RNA
14864_RNA,T cell,MAIT,T cell_RNA
14865_RNA,T cell,MAIT,T cell_RNA
14866_RNA,B cell,Memory B,B cell_RNA
14867_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14868_RNA,NK,NK,NK_RNA
14869_RNA,B cell,Naive B,B cell_RNA
14870_RNA,Progenitor cells,HSC,Progenitor cells_RNA
14871_RNA,T cell,CD4 Naive,T cell_RNA
14872_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14873_RNA,T cell,CD4 Memory,T cell_RNA
14874_RNA,B cell,Memory B,B cell_RNA
14875_RNA,B cell,Naive B,B cell_RNA
14876_RNA,T cell,CD8 Naive,T cell_RNA
14877_RNA,T cell,CD8 Effector_2,T cell_RNA
14878_RNA,T cell,gdT,T cell_RNA
14879_RNA,T cell,CD4 Naive,T cell_RNA
14880_RNA,NK,NK,NK_RNA
14881_RNA,Mono/DC,CD16 Mono,Mono/DC_RNA
14882_RNA,T cell,CD8 Naive,T cell_RNA
14883_RNA,T cell,CD4 Naive,T cell_RNA
14884_RNA,T cell,CD8 Memory_1,T cell_RNA
14885_RNA,T cell,CD8 Naive,T cell_RNA
14886_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14887_RNA,Mono/DC,CD16 Mono,Mono/DC_RNA
14888_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14889_RNA,T cell,CD8 Memory_2,T cell_RNA
14890_RNA,T cell,CD4 Memory,T cell_RNA
14891_RNA,NK,NK,NK_RNA
14892_RNA,T cell,CD4 Memory,T cell_RNA
14893_RNA,T cell,CD8 Memory_2,T cell_RNA
14894_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14895_RNA,B cell,Memory B,B cell_RNA
14896_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14897_RNA,T cell,CD8 Naive,T cell_RNA
14898_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14899_RNA,T cell,CD4 Naive,T cell_RNA
14900_RNA,T cell,CD8 Naive,T cell_RNA
14901_RNA,B cell,Memory B,B cell_RNA
14902_RNA,B cell,Naive B,B cell_RNA
14903_RNA,T cell,CD4 Memory,T cell_RNA
14904_RNA,T cell,CD8 Memory_2,T cell_RNA
14905_RNA,T cell,CD4 Naive,T cell_RNA
14906_RNA,NK,NK,NK_RNA
14907_RNA,T cell,Treg,T cell_RNA
14908_RNA,T cell,CD4 Naive,T cell_RNA
14909_RNA,B cell,Memory B,B cell_RNA
14910_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14911_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14912_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14913_RNA,Progenitor cells,Prog_B 1,Progenitor cells_RNA
14914_RNA,T cell,CD8 Naive,T cell_RNA
14915_RNA,T cell,MAIT,T cell_RNA
14916_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14917_RNA,T cell,CD8 Effector_2,T cell_RNA
14918_RNA,Mono/DC,CD16 Mono,Mono/DC_RNA
14919_RNA,B cell,Naive B,B cell_RNA
14920_RNA,T cell,CD8 Naive,T cell_RNA
14921_RNA,B cell,Memory B,B cell_RNA
14922_RNA,T cell,CD4 Memory,T cell_RNA
14923_RNA,B cell,Memory B,B cell_RNA
14924_RNA,B cell,Naive B,B cell_RNA
14925_RNA,Progenitor cells,LMPP,Progenitor cells_RNA
14926_RNA,B cell,Naive B,B cell_RNA
14927_RNA,B cell,Naive B,B cell_RNA
14928_RNA,T cell,CD8 Memory_1,T cell_RNA
14929_RNA,B cell,Naive B,B cell_RNA
14930_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14931_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14932_RNA,Progenitor cells,Prog_B 1,Progenitor cells_RNA
14933_RNA,T cell,CD4 Memory,T cell_RNA
14934_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14935_RNA,B cell,Memory B,B cell_RNA
14936_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14937_RNA,Progenitor cells,Prog_DC,Progenitor cells_RNA
14938_RNA,T cell,CD8 Naive,T cell_RNA
14939_RNA,T cell,CD8 Naive,T cell_RNA
14940_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14941_RNA,T cell,CD4 Naive,T cell_RNA
14942_RNA,B cell,Plasmablast,B cell_RNA
14943_RNA,Progenitor cells,Prog_RBC,Progenitor cells_RNA
14944_RNA,T cell,CD4 Naive,T cell_RNA
14945_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14946_RNA,T cell,CD4 Naive,T cell_RNA
14947_RNA,T cell,CD4 Naive,T cell_RNA
14948_RNA,Mono/DC,CD16 Mono,Mono/DC_RNA
14949_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14950_RNA,B cell,Memory B,B cell_RNA
14951_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14952_RNA,T cell,CD4 Naive,T cell_RNA
14953_RNA,T cell,CD8 Effector_1,T cell_RNA
14954_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14955_RNA,T cell,CD4 Naive,T cell_RNA
14956_RNA,B cell,Memory B,B cell_RNA
14957_RNA,T cell,CD8 Naive,T cell_RNA
14958_RNA,Mono/DC,pDC,Mono/DC_RNA
14959_RNA,T cell,CD8 Naive,T cell_RNA
14960_RNA,T cell,CD4 Memory,T cell_RNA
14961_RNA,B cell,Memory B,B cell_RNA
14962_RNA,T cell,CD8 Memory_2,T cell_RNA
14963_RNA,T cell,CD8 Effector_2,T cell_RNA
14964_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14965_RNA,T cell,CD4 Memory,T cell_RNA
14966_RNA,NK,NK,NK_RNA
14967_RNA,B cell,Naive B,B cell_RNA
14968_RNA,T cell,CD8 Naive,T cell_RNA
14969_RNA,NK,NK,NK_RNA
14970_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14971_RNA,B cell,Memory B,B cell_RNA
14972_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14973_RNA,T cell,CD4 Memory,T cell_RNA
14974_RNA,B cell,Naive B,B cell_RNA
14975_RNA,T cell,MAIT,T cell_RNA
14976_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14977_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14978_RNA,Mono/DC,CD16 Mono,Mono/DC_RNA
14979_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14980_RNA,T cell,CD8 Memory_2,T cell_RNA
14981_RNA,T cell,CD4 Naive,T cell_RNA
14982_RNA,T cell,CD8 Effector_1,T cell_RNA
14983_RNA,B cell,Naive B,B cell_RNA
14984_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14985_RNA,B cell,Naive B,B cell_RNA
14986_RNA,B cell,Memory B,B cell_RNA
14987_RNA,T cell,CD4 Naive,T cell_RNA
14988_RNA,B cell,Memory B,B cell_RNA
14989_RNA,T cell,CD8 Naive,T cell_RNA
14990_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14991_RNA,B cell,Memory B,B cell_RNA
14992_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14993_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
14994_RNA,T cell,CD8 Naive,T cell_RNA
14995_RNA,T cell,CD8 Memory_2,T cell_RNA
14996_RNA,T cell,CD8 Naive,T cell_RNA
14997_RNA,T cell,CD8 Memory_2,T cell_RNA
14998_RNA,T cell,CD4 Naive,T cell_RNA
14999_RNA,T cell,CD8 Naive,T cell_RNA
15000_RNA,NK,NK,NK_RNA
15001_RNA,T cell,gdT,T cell_RNA
15002_RNA,T cell,CD4 Memory,T cell_RNA
15003_RNA,T cell,CD8 Naive,T cell_RNA
15004_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
15005_RNA,T cell,CD8 Effector_2,T cell_RNA
15006_RNA,T cell,CD8 Naive,T cell_RNA
15007_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
15008_RNA,T cell,CD8 Naive,T cell_RNA
15009_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
15010_RNA,Progenitor cells,Prog_RBC,Progenitor cells_RNA
15011_RNA,Progenitor cells,LMPP,Progenitor cells_RNA
15012_RNA,T cell,CD4 Naive,T cell_RNA
15013_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
15014_RNA,B cell,Naive B,B cell_RNA
15015_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
15016_RNA,T cell,CD4 Naive,T cell_RNA
15017_RNA,B cell,Naive B,B cell_RNA
15018_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
15019_RNA,T cell,CD4 Memory,T cell_RNA
15020_RNA,B cell,Naive B,B cell_RNA
15021_RNA,T cell,CD4 Memory,T cell_RNA
15022_RNA,T cell,CD4 Naive,T cell_RNA
15023_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
15024_RNA,Mono/DC,pDC,Mono/DC_RNA
15025_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
15026_RNA,Mono/DC,CD16 Mono,Mono/DC_RNA
15027_RNA,T cell,CD4 Naive,T cell_RNA
15028_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
15029_RNA,T cell,CD4 Naive,T cell_RNA
15030_RNA,T cell,CD4 Naive,T cell_RNA
15031_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
15032_RNA,T cell,CD8 Naive,T cell_RNA
15033_RNA,Progenitor cells,Prog_RBC,Progenitor cells_RNA
15034_RNA,T cell,CD4 Memory,T cell_RNA
15035_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
15036_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
15037_RNA,B cell,Memory B,B cell_RNA
15038_RNA,Progenitor cells,Prog_RBC,Progenitor cells_RNA
15039_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
15040_RNA,T cell,CD8 Naive,T cell_RNA
15041_RNA,T cell,CD8 Naive,T cell_RNA
15042_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
15043_RNA,T cell,MAIT,T cell_RNA
15044_RNA,T cell,CD8 Memory_1,T cell_RNA
15045_RNA,T cell,gdT,T cell_RNA
15046_RNA,B cell,Naive B,B cell_RNA
15047_RNA,Progenitor cells,GMP,Progenitor cells_RNA
15048_RNA,NK,NK,NK_RNA
15049_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
15050_RNA,T cell,CD8 Memory_2,T cell_RNA
15051_RNA,T cell,CD4 Memory,T cell_RNA
15052_RNA,Progenitor cells,Prog_B 1,Progenitor cells_RNA
15053_RNA,Progenitor cells,HSC,Progenitor cells_RNA
15054_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
15055_RNA,Mono/DC,cDC2,Mono/DC_RNA
15056_RNA,NK,NK,NK_RNA
15057_RNA,B cell,Memory B,B cell_RNA
15058_RNA,T cell,CD8 Naive,T cell_RNA
15059_RNA,T cell,CD4 Memory,T cell_RNA
15060_RNA,B cell,Naive B,B cell_RNA
15061_RNA,T cell,CD4 Memory,T cell_RNA
15062_RNA,T cell,CD8 Effector_1,T cell_RNA
15063_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
15064_RNA,B cell,Memory B,B cell_RNA
15065_RNA,Progenitor cells,HSC,Progenitor cells_RNA
15066_RNA,T cell,CD4 Naive,T cell_RNA
15067_RNA,T cell,CD4 Naive,T cell_RNA
15068_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
15069_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
15070_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
15071_RNA,T cell,CD8 Memory_2,T cell_RNA
15072_RNA,Mono/DC,pDC,Mono/DC_RNA
15073_RNA,Mono/DC,cDC2,Mono/DC_RNA
15074_RNA,T cell,CD8 Effector_2,T cell_RNA
15075_RNA,T cell,CD8 Naive,T cell_RNA
15076_RNA,Progenitor cells,GMP,Progenitor cells_RNA
15077_RNA,T cell,CD8 Naive,T cell_RNA
15078_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
15079_RNA,B cell,Naive B,B cell_RNA
15080_RNA,T cell,CD4 Naive,T cell_RNA
15081_RNA,Mono/DC,cDC2,Mono/DC_RNA
15082_RNA,T cell,CD4 Naive,T cell_RNA
15083_RNA,T cell,CD4 Memory,T cell_RNA
15084_RNA,B cell,Naive B,B cell_RNA
15085_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
15086_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
15087_RNA,T cell,CD4 Memory,T cell_RNA
15088_RNA,NK,CD56 bright NK,NK_RNA
15089_RNA,T cell,CD4 Memory,T cell_RNA
15090_RNA,T cell,CD4 Naive,T cell_RNA
