Index,cell_type,cell_type_02
8706,Monocytes,Monocytes_target
8707,CD4,CD4_target
8708,CD8,CD8_target
8709,Monocytes,Monocytes_target
8710,CD8,CD8_target
8711,Monocytes,Monocytes_target
8712,CD4,CD4_target
8713,Monocytes,Monocytes_target
8714,CD4,CD4_target
8715,B Cells,B Cells_target
8716,Monocytes,Monocytes_target
8717,CD8,CD8_target
8718,CD8,CD8_target
8719,CD4,CD4_target
8720,Monocytes,Monocytes_target
8721,Dendritic Cells,Dendritic Cells_target
8722,CD4,CD4_target
8723,CD8,CD8_target
8724,NK,NK_target
8725,Monocytes,Monocytes_target
8726,CD4,CD4_target
8727,CD4,CD4_target
8728,MAIT,MAIT_target
8729,CD4,CD4_target
8730,B Cells,B Cells_target
8731,CD8,CD8_target
8732,CD4,CD4_target
8733,CD4,CD4_target
8734,Monocytes,Monocytes_target
8735,CD4,CD4_target
8736,Monocytes,Monocytes_target
8737,Monocytes,Monocytes_target
8738,CD4,CD4_target
8739,CD8,CD8_target
8740,CD4,CD4_target
8741,CD4,CD4_target
8742,Monocytes,Monocytes_target
8743,Monocytes,Monocytes_target
8744,CD4,CD4_target
8745,CD8,CD8_target
8746,Monocytes,Monocytes_target
8747,Monocytes,Monocytes_target
8748,CD8,CD8_target
8749,Monocytes,Monocytes_target
8750,Monocytes,Monocytes_target
8751,CD8,CD8_target
8752,CD8,CD8_target
8753,CD4,CD4_target
8754,Monocytes,Monocytes_target
8755,CD8,CD8_target
8756,CD8,CD8_target
8757,B Cells,B Cells_target
8758,B Cells,B Cells_target
8759,CD4,CD4_target
8760,Monocytes,Monocytes_target
8761,CD4,CD4_target
8762,CD8,CD8_target
8763,CD4,CD4_target
8764,Monocytes,Monocytes_target
8765,Monocytes,Monocytes_target
8766,CD8,CD8_target
8767,CD4,CD4_target
8768,CD4,CD4_target
8769,CD8,CD8_target
8770,Monocytes,Monocytes_target
8771,Monocytes,Monocytes_target
8772,Monocytes,Monocytes_target
8773,Monocytes,Monocytes_target
8774,B Cells,B Cells_target
8775,Monocytes,Monocytes_target
8776,B Cells,B Cells_target
8777,CD4,CD4_target
8778,CD8,CD8_target
8779,Monocytes,Monocytes_target
8780,CD8,CD8_target
8781,CD8,CD8_target
8782,CD8,CD8_target
8783,CD8,CD8_target
8784,CD8,CD8_target
8785,B Cells,B Cells_target
8786,Monocytes,Monocytes_target
8787,CD4,CD4_target
8788,B Cells,B Cells_target
8789,Monocytes,Monocytes_target
8790,CD4,CD4_target
8791,Monocytes,Monocytes_target
8792,Monocytes,Monocytes_target
8793,CD8,CD8_target
8794,CD4,CD4_target
8795,CD4,CD4_target
8796,Monocytes,Monocytes_target
8797,B Cells,B Cells_target
8798,CD8,CD8_target
8799,CD4,CD4_target
8800,CD8,CD8_target
8801,CD8,CD8_target
8802,Monocytes,Monocytes_target
8803,Dendritic Cells,Dendritic Cells_target
8804,Monocytes,Monocytes_target
8805,CD8,CD8_target
8806,CD8,CD8_target
8807,Monocytes,Monocytes_target
8808,Monocytes,Monocytes_target
8809,Monocytes,Monocytes_target
8810,CD4,CD4_target
8811,NK,NK_target
8812,NK,NK_target
8813,CD8,CD8_target
8814,Monocytes,Monocytes_target
8815,CD4,CD4_target
8816,Monocytes,Monocytes_target
8817,CD4,CD4_target
8818,CD4,CD4_target
8819,Dendritic Cells,Dendritic Cells_target
8820,CD4,CD4_target
8821,CD4,CD4_target
8822,CD8,CD8_target
8823,CD8,CD8_target
8824,CD8,CD8_target
8825,Monocytes,Monocytes_target
8826,CD8,CD8_target
8827,Monocytes,Monocytes_target
8828,CD4,CD4_target
8829,CD8,CD8_target
8830,CD4,CD4_target
8831,Dendritic Cells,Dendritic Cells_target
8832,CD8,CD8_target
8833,B Cells,B Cells_target
8834,CD8,CD8_target
8835,CD4,CD4_target
8836,CD8,CD8_target
8837,Monocytes,Monocytes_target
8838,CD4,CD4_target
8839,Monocytes,Monocytes_target
8840,CD8,CD8_target
8841,CD4,CD4_target
8842,CD4,CD4_target
8843,CD8,CD8_target
8844,CD4,CD4_target
8845,CD8,CD8_target
8846,CD8,CD8_target
8847,Monocytes,Monocytes_target
8848,CD4,CD4_target
8849,CD8,CD8_target
8850,CD4,CD4_target
8851,CD4,CD4_target
8852,CD4,CD4_target
8853,Monocytes,Monocytes_target
8854,CD8,CD8_target
8855,Monocytes,Monocytes_target
8856,CD8,CD8_target
8857,Monocytes,Monocytes_target
8858,B Cells,B Cells_target
8859,CD8,CD8_target
8860,CD4,CD4_target
8861,CD4,CD4_target
8862,Monocytes,Monocytes_target
8863,Monocytes,Monocytes_target
8864,Monocytes,Monocytes_target
8865,CD4,CD4_target
8866,CD4,CD4_target
8867,Monocytes,Monocytes_target
8868,Monocytes,Monocytes_target
8869,Monocytes,Monocytes_target
8870,B Cells,B Cells_target
8871,NK,NK_target
8872,Monocytes,Monocytes_target
8873,B Cells,B Cells_target
8874,CD4,CD4_target
8875,CD8,CD8_target
8876,Monocytes,Monocytes_target
8877,Monocytes,Monocytes_target
8878,CD8,CD8_target
8879,CD4,CD4_target
8880,Monocytes,Monocytes_target
8881,Monocytes,Monocytes_target
8882,CD8,CD8_target
8883,CD8,CD8_target
8884,CD8,CD8_target
8885,CD8,CD8_target
8886,MAIT,MAIT_target
8887,CD4,CD4_target
8888,NK,NK_target
8889,CD4,CD4_target
8890,Monocytes,Monocytes_target
8891,Monocytes,Monocytes_target
8892,CD4,CD4_target
8893,HSPC,HSPC_target
8894,CD8,CD8_target
8895,Monocytes,Monocytes_target
8896,CD4,CD4_target
8897,B Cells,B Cells_target
8898,Monocytes,Monocytes_target
8899,CD4,CD4_target
8900,Monocytes,Monocytes_target
8901,Dendritic Cells,Dendritic Cells_target
8902,CD8,CD8_target
8903,B Cells,B Cells_target
8904,CD4,CD4_target
8905,CD4,CD4_target
8906,Monocytes,Monocytes_target
8907,Dendritic Cells,Dendritic Cells_target
8908,CD4,CD4_target
8909,CD4,CD4_target
8910,CD4,CD4_target
8911,Monocytes,Monocytes_target
8912,CD4,CD4_target
8913,Monocytes,Monocytes_target
8914,Monocytes,Monocytes_target
8915,CD8,CD8_target
8916,CD8,CD8_target
8917,CD8,CD8_target
8918,CD8,CD8_target
8919,Monocytes,Monocytes_target
8920,Monocytes,Monocytes_target
8921,NK,NK_target
8922,CD8,CD8_target
8923,Monocytes,Monocytes_target
8924,B Cells,B Cells_target
8925,Monocytes,Monocytes_target
8926,CD8,CD8_target
8927,CD4,CD4_target
8928,CD8,CD8_target
8929,Monocytes,Monocytes_target
8930,CD4,CD4_target
8931,Monocytes,Monocytes_target
8932,CD8,CD8_target
8933,Monocytes,Monocytes_target
8934,NK,NK_target
8935,CD4,CD4_target
8936,Monocytes,Monocytes_target
8937,Monocytes,Monocytes_target
8938,CD4,CD4_target
8939,CD4,CD4_target
8940,B Cells,B Cells_target
8941,Monocytes,Monocytes_target
8942,Monocytes,Monocytes_target
8943,Monocytes,Monocytes_target
8944,CD8,CD8_target
8945,CD4,CD4_target
8946,CD4,CD4_target
8947,CD4,CD4_target
8948,CD8,CD8_target
8949,CD4,CD4_target
8950,Monocytes,Monocytes_target
8951,CD4,CD4_target
8952,Dendritic Cells,Dendritic Cells_target
8953,Monocytes,Monocytes_target
8954,NK,NK_target
8955,MAIT,MAIT_target
8956,B Cells,B Cells_target
8957,Monocytes,Monocytes_target
8958,CD8,CD8_target
8959,CD4,CD4_target
8960,CD8,CD8_target
8961,Monocytes,Monocytes_target
8962,CD8,CD8_target
8963,NK,NK_target
8964,CD8,CD8_target
8965,CD4,CD4_target
8966,Monocytes,Monocytes_target
8967,CD4,CD4_target
8968,CD4,CD4_target
8969,Monocytes,Monocytes_target
8970,CD8,CD8_target
8971,MAIT,MAIT_target
8972,CD4,CD4_target
8973,Monocytes,Monocytes_target
8974,CD8,CD8_target
8975,CD4,CD4_target
8976,Monocytes,Monocytes_target
8977,CD4,CD4_target
8978,Monocytes,Monocytes_target
8979,Monocytes,Monocytes_target
8980,Monocytes,Monocytes_target
8981,B Cells,B Cells_target
8982,CD4,CD4_target
8983,B Cells,B Cells_target
8984,CD8,CD8_target
8985,CD4,CD4_target
8986,Dendritic Cells,Dendritic Cells_target
8987,CD4,CD4_target
8988,CD4,CD4_target
8989,CD4,CD4_target
8990,CD8,CD8_target
8991,Monocytes,Monocytes_target
8992,Monocytes,Monocytes_target
8993,Monocytes,Monocytes_target
8994,CD4,CD4_target
8995,Monocytes,Monocytes_target
8996,CD4,CD4_target
8997,CD4,CD4_target
8998,CD4,CD4_target
8999,Monocytes,Monocytes_target
9000,Monocytes,Monocytes_target
9001,Dendritic Cells,Dendritic Cells_target
9002,Monocytes,Monocytes_target
9003,CD8,CD8_target
9004,Monocytes,Monocytes_target
9005,Monocytes,Monocytes_target
9006,CD4,CD4_target
9007,NK,NK_target
9008,CD8,CD8_target
9009,Monocytes,Monocytes_target
9010,Monocytes,Monocytes_target
9011,CD4,CD4_target
9012,Monocytes,Monocytes_target
9013,Monocytes,Monocytes_target
9014,Monocytes,Monocytes_target
9015,Monocytes,Monocytes_target
9016,CD4,CD4_target
9017,CD4,CD4_target
9018,Monocytes,Monocytes_target
9019,NK,NK_target
9020,CD4,CD4_target
9021,Monocytes,Monocytes_target
9022,HSPC,HSPC_target
9023,Monocytes,Monocytes_target
9024,B Cells,B Cells_target
9025,CD4,CD4_target
9026,CD8,CD8_target
9027,Monocytes,Monocytes_target
9028,CD8,CD8_target
9029,Monocytes,Monocytes_target
9030,Monocytes,Monocytes_target
9031,B Cells,B Cells_target
9032,CD8,CD8_target
9033,CD4,CD4_target
9034,CD4,CD4_target
9035,CD8,CD8_target
9036,Monocytes,Monocytes_target
9037,B Cells,B Cells_target
9038,NK,NK_target
9039,Monocytes,Monocytes_target
9040,CD4,CD4_target
9041,CD4,CD4_target
9042,CD4,CD4_target
9043,Monocytes,Monocytes_target
9044,NK,NK_target
9045,CD4,CD4_target
9046,NK,NK_target
9047,NK,NK_target
9048,Monocytes,Monocytes_target
9049,CD4,CD4_target
9050,CD4,CD4_target
9051,Dendritic Cells,Dendritic Cells_target
9052,B Cells,B Cells_target
9053,B Cells,B Cells_target
9054,B Cells,B Cells_target
9055,B Cells,B Cells_target
9056,Monocytes,Monocytes_target
9057,CD4,CD4_target
9058,Monocytes,Monocytes_target
9059,CD4,CD4_target
9060,CD4,CD4_target
9061,CD8,CD8_target
9062,Monocytes,Monocytes_target
9063,B Cells,B Cells_target
9064,Monocytes,Monocytes_target
9065,CD4,CD4_target
9066,NK,NK_target
9067,Monocytes,Monocytes_target
9068,Monocytes,Monocytes_target
9069,CD4,CD4_target
9070,CD8,CD8_target
9071,CD4,CD4_target
9072,B Cells,B Cells_target
9073,CD8,CD8_target
9074,Monocytes,Monocytes_target
9075,CD8,CD8_target
9076,Monocytes,Monocytes_target
9077,Dendritic Cells,Dendritic Cells_target
9078,Monocytes,Monocytes_target
9079,CD4,CD4_target
9080,CD4,CD4_target
9081,CD8,CD8_target
9082,CD4,CD4_target
9083,Monocytes,Monocytes_target
9084,CD4,CD4_target
9085,Monocytes,Monocytes_target
9086,Monocytes,Monocytes_target
9087,Monocytes,Monocytes_target
9088,CD8,CD8_target
9089,CD8,CD8_target
9090,CD8,CD8_target
9091,CD4,CD4_target
9092,B Cells,B Cells_target
9093,B Cells,B Cells_target
9094,CD4,CD4_target
9095,Monocytes,Monocytes_target
9096,NK,NK_target
9097,CD8,CD8_target
9098,CD8,CD8_target
9099,Monocytes,Monocytes_target
9100,CD4,CD4_target
9101,CD8,CD8_target
9102,Monocytes,Monocytes_target
9103,Dendritic Cells,Dendritic Cells_target
9104,CD8,CD8_target
9105,Monocytes,Monocytes_target
9106,CD8,CD8_target
9107,Monocytes,Monocytes_target
9108,CD4,CD4_target
9109,NK,NK_target
9110,CD4,CD4_target
9111,CD8,CD8_target
9112,CD4,CD4_target
9113,NK,NK_target
9114,CD4,CD4_target
9115,Monocytes,Monocytes_target
9116,CD4,CD4_target
9117,CD4,CD4_target
9118,CD8,CD8_target
9119,CD4,CD4_target
9120,CD8,CD8_target
9121,Monocytes,Monocytes_target
9122,Monocytes,Monocytes_target
9123,CD4,CD4_target
9124,Dendritic Cells,Dendritic Cells_target
9125,CD8,CD8_target
9126,Monocytes,Monocytes_target
9127,CD8,CD8_target
9128,Monocytes,Monocytes_target
9129,B Cells,B Cells_target
9130,CD4,CD4_target
9131,Monocytes,Monocytes_target
9132,CD8,CD8_target
9133,CD8,CD8_target
9134,CD4,CD4_target
9135,CD4,CD4_target
9136,Monocytes,Monocytes_target
9137,Dendritic Cells,Dendritic Cells_target
9138,CD4,CD4_target
9139,CD4,CD4_target
9140,CD4,CD4_target
9141,CD4,CD4_target
9142,CD4,CD4_target
9143,CD8,CD8_target
9144,Monocytes,Monocytes_target
9145,Monocytes,Monocytes_target
9146,CD4,CD4_target
9147,Monocytes,Monocytes_target
9148,CD4,CD4_target
9149,CD4,CD4_target
9150,CD4,CD4_target
9151,CD4,CD4_target
9152,Monocytes,Monocytes_target
9153,CD4,CD4_target
9154,CD4,CD4_target
9155,CD4,CD4_target
9156,CD8,CD8_target
9157,Monocytes,Monocytes_target
9158,B Cells,B Cells_target
9159,CD8,CD8_target
9160,Monocytes,Monocytes_target
9161,CD8,CD8_target
9162,Monocytes,Monocytes_target
9163,CD4,CD4_target
9164,CD4,CD4_target
9165,CD8,CD8_target
9166,Monocytes,Monocytes_target
9167,CD4,CD4_target
9168,CD8,CD8_target
9169,CD8,CD8_target
9170,CD4,CD4_target
9171,Monocytes,Monocytes_target
9172,Monocytes,Monocytes_target
9173,B Cells,B Cells_target
9174,Monocytes,Monocytes_target
9175,Monocytes,Monocytes_target
9176,Monocytes,Monocytes_target
9177,CD8,CD8_target
9178,CD4,CD4_target
9179,B Cells,B Cells_target
9180,Monocytes,Monocytes_target
9181,CD8,CD8_target
9182,CD4,CD4_target
9183,CD8,CD8_target
9184,Monocytes,Monocytes_target
9185,Monocytes,Monocytes_target
9186,CD4,CD4_target
9187,CD4,CD4_target
9188,Monocytes,Monocytes_target
9189,CD4,CD4_target
9190,Monocytes,Monocytes_target
9191,Monocytes,Monocytes_target
9192,Monocytes,Monocytes_target
9193,CD8,CD8_target
9194,B Cells,B Cells_target
9195,CD4,CD4_target
9196,Dendritic Cells,Dendritic Cells_target
9197,NK,NK_target
9198,Monocytes,Monocytes_target
9199,Monocytes,Monocytes_target
9200,CD8,CD8_target
9201,NK,NK_target
9202,Monocytes,Monocytes_target
9203,Monocytes,Monocytes_target
9204,B Cells,B Cells_target
9205,CD8,CD8_target
9206,CD4,CD4_target
9207,Monocytes,Monocytes_target
9208,CD4,CD4_target
9209,Monocytes,Monocytes_target
9210,Monocytes,Monocytes_target
9211,CD8,CD8_target
9212,CD4,CD4_target
9213,Monocytes,Monocytes_target
9214,CD8,CD8_target
9215,CD4,CD4_target
9216,Monocytes,Monocytes_target
9217,Monocytes,Monocytes_target
9218,B Cells,B Cells_target
9219,CD8,CD8_target
9220,CD8,CD8_target
9221,NK,NK_target
9222,Monocytes,Monocytes_target
9223,CD4,CD4_target
9224,Monocytes,Monocytes_target
9225,Monocytes,Monocytes_target
9226,Monocytes,Monocytes_target
9227,NK,NK_target
9228,NK,NK_target
9229,CD4,CD4_target
9230,CD4,CD4_target
9231,Monocytes,Monocytes_target
9232,CD8,CD8_target
9233,CD4,CD4_target
9234,Monocytes,Monocytes_target
9235,Monocytes,Monocytes_target
9236,CD4,CD4_target
9237,CD4,CD4_target
9238,CD8,CD8_target
9239,Monocytes,Monocytes_target
9240,B Cells,B Cells_target
9241,CD4,CD4_target
9242,CD4,CD4_target
9243,Monocytes,Monocytes_target
9244,Monocytes,Monocytes_target
9245,CD8,CD8_target
9246,CD8,CD8_target
9247,B Cells,B Cells_target
9248,CD8,CD8_target
9249,CD8,CD8_target
9250,CD4,CD4_target
9251,Monocytes,Monocytes_target
9252,Monocytes,Monocytes_target
9253,CD4,CD4_target
9254,CD4,CD4_target
9255,Monocytes,Monocytes_target
9256,CD8,CD8_target
9257,B Cells,B Cells_target
9258,CD4,CD4_target
9259,B Cells,B Cells_target
9260,CD4,CD4_target
9261,Monocytes,Monocytes_target
9262,CD4,CD4_target
9263,CD4,CD4_target
9264,Monocytes,Monocytes_target
9265,B Cells,B Cells_target
9266,Monocytes,Monocytes_target
9267,Monocytes,Monocytes_target
9268,NK,NK_target
9269,CD8,CD8_target
9270,CD8,CD8_target
9271,CD8,CD8_target
9272,CD4,CD4_target
9273,Monocytes,Monocytes_target
9274,Monocytes,Monocytes_target
9275,Monocytes,Monocytes_target
9276,B Cells,B Cells_target
9277,CD8,CD8_target
9278,Monocytes,Monocytes_target
9279,CD8,CD8_target
9280,B Cells,B Cells_target
9281,B Cells,B Cells_target
9282,CD4,CD4_target
9283,CD4,CD4_target
9284,CD8,CD8_target
9285,Monocytes,Monocytes_target
9286,CD8,CD8_target
9287,CD4,CD4_target
9288,CD4,CD4_target
9289,Monocytes,Monocytes_target
9290,CD8,CD8_target
9291,Dendritic Cells,Dendritic Cells_target
9292,CD4,CD4_target
9293,B Cells,B Cells_target
9294,CD8,CD8_target
9295,B Cells,B Cells_target
9296,B Cells,B Cells_target
9297,CD4,CD4_target
9298,CD8,CD8_target
9299,Monocytes,Monocytes_target
9300,CD8,CD8_target
9301,B Cells,B Cells_target
9302,CD8,CD8_target
9303,Monocytes,Monocytes_target
9304,NK,NK_target
9305,Monocytes,Monocytes_target
9306,CD4,CD4_target
9307,CD4,CD4_target
9308,CD4,CD4_target
9309,Monocytes,Monocytes_target
9310,CD4,CD4_target
9311,CD4,CD4_target
9312,NK,NK_target
9313,Monocytes,Monocytes_target
9314,Monocytes,Monocytes_target
9315,Monocytes,Monocytes_target
9316,NK,NK_target
9317,Monocytes,Monocytes_target
9318,CD4,CD4_target
9319,CD4,CD4_target
9320,Monocytes,Monocytes_target
9321,Monocytes,Monocytes_target
9322,CD8,CD8_target
9323,Monocytes,Monocytes_target
9324,CD8,CD8_target
9325,Monocytes,Monocytes_target
9326,Monocytes,Monocytes_target
9327,CD8,CD8_target
9328,CD4,CD4_target
9329,Monocytes,Monocytes_target
9330,B Cells,B Cells_target
9331,CD8,CD8_target
9332,Monocytes,Monocytes_target
9333,Monocytes,Monocytes_target
9334,Monocytes,Monocytes_target
9335,CD4,CD4_target
9336,Monocytes,Monocytes_target
9337,CD8,CD8_target
9338,CD8,CD8_target
9339,CD4,CD4_target
9340,CD8,CD8_target
9341,Monocytes,Monocytes_target
9342,Monocytes,Monocytes_target
9343,CD4,CD4_target
9344,Monocytes,Monocytes_target
9345,CD8,CD8_target
9346,Monocytes,Monocytes_target
9347,Monocytes,Monocytes_target
9348,NK,NK_target
9349,B Cells,B Cells_target
9350,CD4,CD4_target
9351,Monocytes,Monocytes_target
9352,CD4,CD4_target
9353,B Cells,B Cells_target
9354,Monocytes,Monocytes_target
9355,CD8,CD8_target
9356,B Cells,B Cells_target
9357,Dendritic Cells,Dendritic Cells_target
9358,Monocytes,Monocytes_target
9359,B Cells,B Cells_target
9360,Dendritic Cells,Dendritic Cells_target
9361,Monocytes,Monocytes_target
9362,Monocytes,Monocytes_target
9363,CD4,CD4_target
9364,CD4,CD4_target
9365,CD8,CD8_target
9366,CD4,CD4_target
9367,CD8,CD8_target
9368,Monocytes,Monocytes_target
9369,CD4,CD4_target
9370,CD4,CD4_target
9371,Monocytes,Monocytes_target
9372,CD4,CD4_target
9373,Monocytes,Monocytes_target
9374,Monocytes,Monocytes_target
9375,CD4,CD4_target
9376,CD8,CD8_target
9377,CD8,CD8_target
9378,CD4,CD4_target
9379,CD4,CD4_target
9380,Dendritic Cells,Dendritic Cells_target
9381,CD4,CD4_target
9382,CD4,CD4_target
9383,B Cells,B Cells_target
9384,MAIT,MAIT_target
9385,NK,NK_target
9386,Monocytes,Monocytes_target
9387,CD4,CD4_target
9388,Monocytes,Monocytes_target
9389,NK,NK_target
9390,Monocytes,Monocytes_target
9391,CD8,CD8_target
9392,Monocytes,Monocytes_target
9393,MAIT,MAIT_target
9394,Monocytes,Monocytes_target
9395,B Cells,B Cells_target
9396,CD4,CD4_target
9397,Monocytes,Monocytes_target
9398,CD4,CD4_target
9399,CD8,CD8_target
9400,Monocytes,Monocytes_target
9401,CD8,CD8_target
9402,Monocytes,Monocytes_target
9403,CD8,CD8_target
9404,CD4,CD4_target
9405,Monocytes,Monocytes_target
9406,CD4,CD4_target
9407,CD8,CD8_target
9408,CD4,CD4_target
9409,NK,NK_target
9410,Monocytes,Monocytes_target
9411,CD8,CD8_target
9412,Dendritic Cells,Dendritic Cells_target
9413,CD8,CD8_target
9414,CD4,CD4_target
9415,Monocytes,Monocytes_target
9416,CD8,CD8_target
9417,CD8,CD8_target
9418,CD4,CD4_target
9419,CD8,CD8_target
9420,CD8,CD8_target
9421,Monocytes,Monocytes_target
9422,B Cells,B Cells_target
9423,CD8,CD8_target
9424,B Cells,B Cells_target
9425,CD8,CD8_target
9426,CD4,CD4_target
9427,CD4,CD4_target
9428,CD4,CD4_target
9429,CD4,CD4_target
9430,CD8,CD8_target
9431,CD8,CD8_target
9432,B Cells,B Cells_target
9433,Monocytes,Monocytes_target
9434,CD8,CD8_target
9435,CD8,CD8_target
9436,CD4,CD4_target
9437,CD4,CD4_target
9438,B Cells,B Cells_target
9439,Monocytes,Monocytes_target
9440,Monocytes,Monocytes_target
9441,CD8,CD8_target
9442,Dendritic Cells,Dendritic Cells_target
9443,Monocytes,Monocytes_target
9444,CD8,CD8_target
9445,NK,NK_target
9446,Monocytes,Monocytes_target
9447,CD4,CD4_target
9448,CD4,CD4_target
9449,MAIT,MAIT_target
9450,CD4,CD4_target
9451,CD4,CD4_target
9452,Monocytes,Monocytes_target
9453,Monocytes,Monocytes_target
9454,Monocytes,Monocytes_target
9455,CD4,CD4_target
9456,CD4,CD4_target
9457,CD8,CD8_target
9458,CD4,CD4_target
9459,Monocytes,Monocytes_target
9460,CD4,CD4_target
9461,B Cells,B Cells_target
9462,Monocytes,Monocytes_target
9463,Monocytes,Monocytes_target
9464,Monocytes,Monocytes_target
9465,CD4,CD4_target
9466,Monocytes,Monocytes_target
9467,CD4,CD4_target
9468,Monocytes,Monocytes_target
9469,CD4,CD4_target
9470,B Cells,B Cells_target
9471,Monocytes,Monocytes_target
9472,Monocytes,Monocytes_target
9473,NK,NK_target
9474,Monocytes,Monocytes_target
9475,Monocytes,Monocytes_target
9476,Monocytes,Monocytes_target
9477,CD8,CD8_target
9478,CD4,CD4_target
9479,Monocytes,Monocytes_target
9480,CD8,CD8_target
9481,CD4,CD4_target
9482,Monocytes,Monocytes_target
9483,CD4,CD4_target
9484,Monocytes,Monocytes_target
9485,CD4,CD4_target
9486,CD8,CD8_target
9487,CD8,CD8_target
9488,MAIT,MAIT_target
9489,Monocytes,Monocytes_target
9490,Monocytes,Monocytes_target
9491,Monocytes,Monocytes_target
9492,CD8,CD8_target
9493,Monocytes,Monocytes_target
9494,Monocytes,Monocytes_target
9495,CD8,CD8_target
9496,CD8,CD8_target
9497,B Cells,B Cells_target
9498,CD4,CD4_target
9499,CD4,CD4_target
9500,Monocytes,Monocytes_target
9501,CD8,CD8_target
9502,CD8,CD8_target
9503,Monocytes,Monocytes_target
9504,NK,NK_target
9505,CD8,CD8_target
9506,Monocytes,Monocytes_target
9507,Monocytes,Monocytes_target
9508,CD4,CD4_target
9509,Monocytes,Monocytes_target
9510,Monocytes,Monocytes_target
9511,Monocytes,Monocytes_target
9512,CD8,CD8_target
9513,CD4,CD4_target
9514,Monocytes,Monocytes_target
9515,CD8,CD8_target
9516,CD4,CD4_target
9517,Monocytes,Monocytes_target
9518,Monocytes,Monocytes_target
9519,Monocytes,Monocytes_target
9520,MAIT,MAIT_target
9521,Monocytes,Monocytes_target
9522,B Cells,B Cells_target
9523,Monocytes,Monocytes_target
9524,Monocytes,Monocytes_target
9525,NK,NK_target
9526,CD8,CD8_target
9527,B Cells,B Cells_target
9528,Monocytes,Monocytes_target
9529,B Cells,B Cells_target
9530,CD8,CD8_target
9531,NK,NK_target
9532,B Cells,B Cells_target
9533,CD4,CD4_target
9534,Monocytes,Monocytes_target
9535,Monocytes,Monocytes_target
9536,MAIT,MAIT_target
9537,CD4,CD4_target
9538,CD4,CD4_target
9539,CD4,CD4_target
9540,CD8,CD8_target
9541,Monocytes,Monocytes_target
9542,B Cells,B Cells_target
9543,CD8,CD8_target
9544,Monocytes,Monocytes_target
9545,Monocytes,Monocytes_target
9546,CD8,CD8_target
9547,CD8,CD8_target
9548,B Cells,B Cells_target
9549,B Cells,B Cells_target
9550,CD4,CD4_target
9551,Monocytes,Monocytes_target
9552,NK,NK_target
9553,Monocytes,Monocytes_target
9554,CD4,CD4_target
9555,CD8,CD8_target
9556,Monocytes,Monocytes_target
9557,CD4,CD4_target
9558,CD4,CD4_target
9559,CD4,CD4_target
9560,CD4,CD4_target
9561,CD8,CD8_target
9562,NK,NK_target
9563,Monocytes,Monocytes_target
9564,CD8,CD8_target
9565,CD4,CD4_target
9566,Monocytes,Monocytes_target
9567,CD8,CD8_target
9568,CD4,CD4_target
9569,CD4,CD4_target
9570,B Cells,B Cells_target
9571,CD4,CD4_target
9572,B Cells,B Cells_target
9573,Monocytes,Monocytes_target
9574,Dendritic Cells,Dendritic Cells_target
9575,CD4,CD4_target
9576,MAIT,MAIT_target
9577,CD8,CD8_target
9578,Dendritic Cells,Dendritic Cells_target
9579,Monocytes,Monocytes_target
9580,Monocytes,Monocytes_target
9581,Monocytes,Monocytes_target
9582,Monocytes,Monocytes_target
9583,CD4,CD4_target
9584,CD8,CD8_target
9585,CD4,CD4_target
9586,CD4,CD4_target
9587,CD4,CD4_target
9588,Monocytes,Monocytes_target
9589,CD8,CD8_target
9590,NK,NK_target
9591,CD8,CD8_target
9592,CD8,CD8_target
9593,Monocytes,Monocytes_target
9594,Monocytes,Monocytes_target
9595,Monocytes,Monocytes_target
9596,CD8,CD8_target
9597,CD4,CD4_target
9598,CD4,CD4_target
9599,Monocytes,Monocytes_target
9600,NK,NK_target
9601,CD8,CD8_target
9602,CD8,CD8_target
9603,CD8,CD8_target
9604,Monocytes,Monocytes_target
9605,CD4,CD4_target
9606,NK,NK_target
9607,B Cells,B Cells_target
9608,NK,NK_target
9609,CD4,CD4_target
9610,Monocytes,Monocytes_target
9611,CD8,CD8_target
9612,CD4,CD4_target
9613,Monocytes,Monocytes_target
9614,Monocytes,Monocytes_target
9615,CD8,CD8_target
9616,CD4,CD4_target
9617,Dendritic Cells,Dendritic Cells_target
9618,CD4,CD4_target
9619,CD4,CD4_target
9620,CD4,CD4_target
9621,CD4,CD4_target
9622,CD4,CD4_target
9623,CD4,CD4_target
9624,Monocytes,Monocytes_target
9625,Monocytes,Monocytes_target
9626,Monocytes,Monocytes_target
9627,Monocytes,Monocytes_target
9628,CD8,CD8_target
9629,CD8,CD8_target
9630,CD4,CD4_target
9631,CD8,CD8_target
9632,CD4,CD4_target
9633,CD8,CD8_target
9634,CD8,CD8_target
9635,Monocytes,Monocytes_target
9636,CD8,CD8_target
9637,Dendritic Cells,Dendritic Cells_target
9638,CD4,CD4_target
9639,CD4,CD4_target
9640,CD8,CD8_target
9641,Monocytes,Monocytes_target
9642,Monocytes,Monocytes_target
9643,CD8,CD8_target
9644,CD4,CD4_target
9645,Monocytes,Monocytes_target
9646,Monocytes,Monocytes_target
9647,CD8,CD8_target
9648,B Cells,B Cells_target
9649,Monocytes,Monocytes_target
9650,CD4,CD4_target
9651,CD4,CD4_target
9652,Monocytes,Monocytes_target
9653,NK,NK_target
9654,CD4,CD4_target
9655,CD4,CD4_target
9656,Monocytes,Monocytes_target
9657,CD8,CD8_target
9658,NK,NK_target
